xcb-util-cursor 0.1.3-1
xcursor-bluecurve 0.1.1-5
xdotool 3.20160805.1-1
xf86-input-libinput 0.25.1-1
xfce-theme-greybird-git 3.22.4.r739-1
xfce4-notifyd 0.3.6-1
xfce4-volumed-pulse 0.2.2-1
xfsprogs 4.12.0-1
xorg-iceauth 1.0.7-1
xorg-server 1.19.3-3
xorg-sessreg 1.1.1-1
xorg-xcmsdb 1.0.5-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkill 1.0.4-1
xorg-xprop 1.2.2-1
xorg-xrefresh 1.0.5-1
xorg-xwininfo 1.1.3-1
xss-lock-git 0.3.0.r4.g1e158fb-1
xvisbell 1.0-0
yajl 2.1.0-1
yubico-pam 2.24-3
zathura-pdf-mupdf 0.3.1-3
zathura-ps 0.2.4-1
zdoom 2.8.1-5
zenity 3.24.0-1
zip 3.0-7
zsh 5.4.2-1
zsh-completions 0.26.0-1
