libtasn1 4.12-2
libteam 1.26-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-2
libtirpc 1.0.2-1
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunwind 1.2.1-1
libusb 1.0.21-2
libutempter 1.1.6-2
libutil-linux 2.30.1-2
libva 1.8.3-1
libvdpau 1.1.1-2
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libwacom 0.24-1
libwbclient 4.6.7-1
libwebp 0.6.0-1
libwmf 0.2.8.4-14
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.7-1
libx11 1.6.5-1
libx264 2:148.20170521-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.2-1
libxkbcommon-x11 0.7.2-1
libxkbfile 1.0.9-1
libxml2 2.9.5+6+g07e227ed-1
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.30-2
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
link-grammar 5.3.15-1
linux-api-headers 4.12.7-1
linux-firmware 20170907.a61ac5c-1
llvm-libs 4.0.1-5
loudmouth 1.5.3-1
lua51 5.1.5-6
lua51-filesystem 1.6.3-3
lua52 5.2.4-2
luajit 2.0.5-1
lz4 1:1.8.0-1
lzo 2.10-1
mcpp 2.7.2-5
mesa 17.2.0-2
minizip 1:1.2.11-2
mkinitcpio 23-2
mkinitcpio-busybox 1.26.1-1
mobile-broadband-provider-info 20170310-1
mpfr 3.1.5.p2-1
mpg123 1.25.6-1
mtdev 1.1.5-1
ncurses 6.0+20170902-1
nettle 3.3-1
nm-connection-editor 1.8.2-1
npth 1.5-1
nspr 4.16-1
nss 3.32-1
ocl-icd 2.2.11-1
openal 1.18.1-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openjpeg2 2.2.0-1
openresolv 3.9.0-1
openssl 1.1.0.f-2
openssl-1.0 1.0.2.l-1
opus 1.2.1-1
orc 0.4.27-1
p11-kit 0.23.8-1
pacman-mirrorlist 20170907-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.12-1
pango-perl 1.227-8
pangox-compat 0.0.2+2+gedb9e09-2
pcre 8.41-1
pcre2 10.30-1
pcsc-perl 1.4.14-5
pcsclite 1.8.22-1
perl-error 0.17025-2
perl-file-basedir 0.07-3
perl-ipc-system-simple 1.25-3
pinentry 1.0.0-1
pixman 0.34.0-1
polkit 0.113+29+g3272a98-1
popt 1.16-9
psiconv 0.9.9-4
pygobject-devel 3.24.1-1
pygobject2-devel 2.28.6-13
pygtk 2.24.0-7
python 3.6.2-1
python-appdirs 1.4.3-1
python-cairo 1.13.3-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-gobject 3.24.1-1
python-packaging 16.8-2
python-pyparsing 2.2.0-1
python-pyudev 0.21.0-2
python-setuptools 1:36.4.0-1
python-six 1.10.0-3
python-unidecode 0.04.21-1
python2 2.7.13-4
python2-appdirs 1.4.3-1
python2-cairo 1.13.3-1
python2-gobject 3.24.1-1
python2-gobject2 2.28.6-13
python2-packaging 16.8-2
python2-pyparsing 2.2.0-1
python2-setuptools 1:36.4.0-1
python2-six 1.10.0-3
python2-xdg 0.25-4
randrproto 1.5.0-1
raptor 2.0.15-6
rasqal 1:0.9.33-1
re2 20170801-1
readline 7.0.003-1
recode 3.6-10
recordproto 1.14.2-2
redland 1:1.0.17-4
renderproto 0.11.1-3
rfkill 0.5-2
rsync 3.1.2-2
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-3
rubberband 1.8.1-3
ruby 2.4.1-3
run-parts 4.8.1-1
sbc 1.3-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
