ttf-roboto 2.138-1
udisks2 2.7.6-1
ufw 0.35-3
unclutter-xfixes-git v1.3.r4.gd505b8e-1
units 2.16-3
unrar 1:5.6.3-1
unzip 6.0-12
usbutils 009-1
util-linux 2.32-3
vertex-themes 20170128-1
vi 1:070224-2
vimpager 2.06-3
vulkan-intel 18.0.2-1
w3m 0.5.3.git20180125-1
wget 1.19.4-3
which 2.21-2
wmctrl 1.07-4
wunderground 20160820-1
x86_energy_perf_policy 4.16-1
xautolock 2.2-4
xautomation 1.09-2
xbindkeys 1.8.6-2
xcalib 0.9-1
xcb-util-cursor 0.1.3-1
xcursor-bluecurve 0.1.1-5
xdotool 3.20160805.1-1
xf86-video-fbdev 0.4.4+12+ge0bce0d-1
xf86-video-intel 1:2.99.917+829+gd7dfab62-1
xfce-theme-greybird-git 3.22.8+0-1
xfce4-notifyd 0.4.2-1
xfce4-volumed-pulse 0.2.3-2
xfsprogs 4.15.1-1
xorg-iceauth 1.0.8-1
xorg-server 1.19.6+13+gd0d1a694f-2
xorg-sessreg 1.1.1-1
xorg-xcmsdb 1.0.5-1
xorg-xdpyinfo 1.3.2-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.4.0-3
xorg-xinput 1.6.2-1
xorg-xkill 1.0.5-1
xorg-xprop 1.2.3-1
xorg-xrefresh 1.0.6-1
xorg-xwininfo 1.1.4-1
xss-lock-git 0.3.0.r4.g1e158fb-1
xterm 332-1
xvisbell 1.0-0
yajl 2.1.0-1
yay-bin 6.727-2
youtube-dl 2018.05.01-1
yubico-pam 2.26-1
zathura-pdf-poppler 0.2.9-1
zathura-ps 0.2.6-1
zdoom 2.8.1-5
zenity 3.28.1-1
zip 3.0-7
zsh-completions 0.27.0-1
